,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-02-17,-882,1099.51,SPX Index
2010-03-16,836,1159.46,SPX Index
2010-05-26,-790,1067.95,SPX Index
2010-08-13,782,1079.25,SPX Index
2010-09-10,-774,1109.55,SPX Index
2010-09-20,751,1142.71,SPX Index
2011-06-13,-728,1271.83,SPX Index
2011-07-29,717,1292.28,SPX Index
2011-08-04,-706,1200.07,SPX Index
2011-11-03,672,1261.15,SPX Index
2012-05-17,-638,1304.86,SPX Index
2012-07-23,616,1350.52,SPX Index
2012-11-13,-594,1374.53,SPX Index
2013-01-04,557,1466.47,SPX Index
2014-02-26,-520,1845.16,SPX Index
2014-03-04,512,1873.91,SPX Index
2014-10-14,-504,1877.7,SPX Index
2014-11-17,463,2041.32,SPX Index
2015-02-05,-422,2062.52,SPX Index
2015-02-19,415,2097.45,SPX Index
2015-07-02,-408,2076.78,SPX Index
2015-08-14,405,2091.54,SPX Index
2015-08-17,-402,2102.44,SPX Index
2015-11-02,402,2104.05,SPX Index
2016-01-08,-402,1922.03,SPX Index
2016-03-21,377,2051.6,SPX Index
2016-10-11,-352,2136.73,SPX Index
2016-11-30,342,2198.81,SPX Index
